SOFTWARECOMPONENT	SWCOMPDESC	APPLICATIONCOMPONENT	APCOMPDESC	CHECKID	CATEGORY	MESSAGE	MSGTYPE	RETURNCODE	MSGIDENTIFIER	SEVERITY	COMPLEXITY	PROCAREA	PROCAREAL2	EFFORT	EFFORTFUNC	EFFORTTECH	NOTE	MIGRPOSSIBLE	MIGRIMPACT
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100101 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100108 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100109 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100110 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100115 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100116 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000491000 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000491100 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000493000 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000510000 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000510001 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100055 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100000 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100001 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100002 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100003 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100004 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100005 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100006 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100007 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100008 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100009 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100010 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100011 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100012 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100013 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100015 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100020 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100022 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100025 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100026 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100035 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100045 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
