PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   12	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFI_FSCM_MASS_REB	AR - FSCM -Mass Re-bill update			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_FSCM_MASS_REB	ZFI_FSCM_MASS_REB	   28	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFI_FSCM_MASS_REB	AR - FSCM -Mass Re-bill update			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_FSCM_MASS_REB	ZFI_FSCM_MASS_REB	   28	UDMCASEATTR00-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   30	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   33	BSEG-BSCHL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   35	BSEG-HBKID-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIAR_CASHAPP_F32	NA AR Cash app F-32 Clear Payment posting			ZFI	EHP6 FOR SAP ERP 6.0	ZFIAR_CASHAPP_F32	ZFIAR_CASHAPP_F32	   35	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   38	BSEG-KOSTL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   39	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   39	BSEG-PRCTR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   40	BSEG-ZTERM-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   41	BSEG-ZFBDT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   42	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFI_AR_TRANSFER_MULTI	AR Transfer and Clearing			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_TRANSFER_MULTI	ZFI_AR_TRANSFER_MULTI	   43	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   43	BSEG-XREF1-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   44	BSEG-ZUONR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFI_AR_TRANSFER_MULTI	AR Transfer and Clearing			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_TRANSFER_MULTI	ZFI_AR_TRANSFER_MULTI	   48	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   50	BSEG-BSCHL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   50	BSEG-BUZID-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   51	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   51	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   51	BSEG-BUPLA-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   51	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   52	BSEG-XREF2-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   53	BSEG-XREF3-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   54	BSEG-KOSTL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   55	BSEG-KUNNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   55	BSEG-PRCTR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   56	BSEG-ZTERM-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   57	BSEG-ZFBDT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   58	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
