PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		38	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		39	Selection text or parameter for selection field FILENAME is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		39	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		40	Selection text or parameter for selection field COMMENT is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		42	Avoid the use of DEFAULT	4	3	SELECTION SCREEN FIELDS INCONSISTENT	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		42	Selection text or parameter for selection field DOMATYP is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		43	Selection text or parameter for selection field DOMANAM is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		44	Selection text or parameter for selection field MIN_STAT is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		45	Selection text or parameter for selection field FL_PP is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		46	Selection text or parameter for selection field FL_PPA is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		47	Selection text or parameter for selection field FL_PPX is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		48	Selection text or parameter for selection field NO_UPDTE is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		50	Avoid the use of DEFAULT	4	3	SELECTION SCREEN FIELDS INCONSISTENT	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		50	Selection text or parameter for selection field BATCH is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		67	"The current ABAP command is obsolete. An explicit work area is necessary in the OO context. Use ""APPEND wa TO LT_SELTAB. [SORTED BY]""..Internal Message Code: APPEND 002"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		68	"The current ABAP command is obsolete. An explicit work area is necessary in the OO context. Use ""APPEND wa TO LT_SELTAB. [SORTED BY]""..Internal Message Code: APPEND 002"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		71	 TEXT 001 is not defined in text pool of ZBC_RS_TRANSLATION_IMPORT_PP in the. original language E	3	3	MAINTAIN TEXT ELEMENTS	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		73	"The current ABAP command is obsolete. An explicit work area is necessary in the OO context. Use ""APPEND wa TO LT_SELTAB. [SORTED BY]""..Internal Message Code: APPEND 002"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		73	Truncation in the conversion from ABAP type 'C' (length 110 -> 90)	4	2	TYPE CONVERSION ERROR	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		74	"The current ABAP command is obsolete. An explicit work area is necessary in the OO context. Use ""APPEND wa TO LT_SELTAB. [SORTED BY]""..Internal Message Code: APPEND 002"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		75	"The current ABAP command is obsolete. An explicit work area is necessary in the OO context. Use ""APPEND wa TO LT_SELTAB. [SORTED BY]""..Internal Message Code: APPEND 002"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		75	Truncation in the conversion from ABAP type 'C' (length 120 -> 90)	4	2	TYPE CONVERSION ERROR	PROG
