PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  274	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  274	BSEG-KOSTL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  275	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  276	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  276	LFA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  276	LFA1-SORTL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  277	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  278	BSEG-KOART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  299	KNA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  299	KNA1-SORTL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  300	KNA1-KUNNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_BAPI_INTERNALORDER_CREATE	Internal order create from passed data			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ2075	LZ2075U01	  302	Syntax or Keyword MODIFY is Obsolete	E	2					O		2
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_BTE_PROCESS_00001120	Beschreibung der Prozess-Schnittstelle 00001120			ZFI_INTERFACE_LAYER	EHP6 FOR SAP ERP 6.0	SAPLZFI_BTE_1120	LZFI_BTE_1120U01	  331	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_BTE_PROCESS_00001120	Beschreibung der Prozess-Schnittstelle 00001120			ZFI_INTERFACE_LAYER	EHP6 FOR SAP ERP 6.0	SAPLZFI_BTE_1120	LZFI_BTE_1120U01	  446	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_BTE_PROCESS_00001120	Beschreibung der Prozess-Schnittstelle 00001120			ZFI_INTERFACE_LAYER	EHP6 FOR SAP ERP 6.0	SAPLZFI_BTE_1120	LZFI_BTE_1120U01	  446	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_BTE_PROCESS_00001120	Beschreibung der Prozess-Schnittstelle 00001120			ZFI_INTERFACE_LAYER	EHP6 FOR SAP ERP 6.0	SAPLZFI_BTE_1120	LZFI_BTE_1120U01	  446	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_BTE_PROCESS_00001120	Beschreibung der Prozess-Schnittstelle 00001120			ZFI_INTERFACE_LAYER	EHP6 FOR SAP ERP 6.0	SAPLZFI_BTE_1120	LZFI_BTE_1120U01	  446	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
