COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	CURRSTAT	STAT1511	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
MDG_APPL	MDG Applications	Application Componen	617	MDG_ERP_CUSTOMER_2	MDG for Customer 6.1	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_ERP_SUPPLIER	MDG for Supplier	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_ERP_SUPPLIER_2	MDG for Supplier on ERP Hub EhP6	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_ERP_SUPPLIER_3	MDG for Supplier 6.1	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_MATERIAL_2	MDG for Material 2	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_MATERIAL_3	MDG for Material 3	OFF		Not part of BF list	I		S		
MDG_FND	MDG Foundation	Application Platform	747	FIN_SSC_MDGINT	Integration of MDG and SSF	OFF		Not part of BF list	I		S		
MDG_FND	MDG Foundation	Application Platform	747	MDG_FINANCIALS_3	MDG for Financials 3	OFF		Not part of BF list	I		S		
MDG_FND	MDG Foundation	Application Platform	747	MDG_FOUNDATION_3	MDG, Generic Functions 3	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	CA_ECH_1	Error and Conflict Handler	OFF	ON	Warning	W		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	CA_FSBP_MIGRATION_ID	FS-BP Migration Partner Numbers	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	CA_FSBP_TAX_C	FS-BP Tax Compliance	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	CA_HAP_CI_1	Evaluations/Appraisals/Surveys	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	CA_PA_CE_GE_QUALI	CA, EE Qualifications for CE/GE	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	ILM_RWC_PRODUCT_LIABILITY	ILM Pred. RW Content ProdLiab	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	ILM_RWC_TAX	ILM Predefined RW Content TAX	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	ILM_RWC_TAX_IS_OIL	ILM Predef. RW Content TAX OIL	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	ILM_RWC_TAX_IS_U	ILM Predef. RW Content TAX IS-U	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Netweaver Basis Comp	740	PCA_KEYV	Payment Cards: Key Version	OFF		Not part of BF list	I		S		
SAP_AP	SAP Application Platform	Application Platform	700	IBASE_ILM	IBASE ILM	OFF		Not part of BF list	I		S		
SAP_APPL	Logistics and Accounting	Application Componen	617	/KYK/GEN_AIO_SIMPLIFICATION	SAP All-In-One Roles	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	/SPE/TPOP_CANCEL	SPM: Cancellation of TPOP Order	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	APO_VMI_CONS	VMI Consignment	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	AUTO_LOC_IN_1	IS-Auto Localization for IN, JP	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	AUTO_LOC_JP_1	IS-Auto Localization for JP	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	CA_CATS_CE	CATS classic for CE	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	CA_CATS_CPR_CORE	CATS classic: cProjects Details	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	CA_CIF_INILOAD_01	Enhanced Initial DataTransfer	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	CO_ALLOCATIONS	CO, Allocations	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	DA_ARCHOBJ_STANDARD_3	Standardization - Arch. Objects	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_ATP_EXT_CUST	Enterprise Services for the ATP	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_CF_INTEGRATION_1	ERP, Integration with CLA & FM	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_CF_INTEGRATION_CPM	ERP, Integration with Claims	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_CVP_ILM_1	Customer/Vendor Master ILM-Del	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_IPM_BACKEND_1	IPM, Ind-Independent Back End	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_IPM_BACKEND_2	IPM, Dwnld CRM Matl-Reld IP Info	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_UID_01	Item Unique Identification	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_UID_02	Item Unique Identification	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_UID_03	Item Unique Identification	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_WEB_CHANNEL_1	SAP Web Channel Exp. Mgmt	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_WEB_CHANNEL_2	SAP Web Channel Exp. Mgmt 2.0	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ERP_WEB_CHANNEL_3	SAP Web Channel Exp. Mgmt. 3.0	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_AA_CI_1	FI-AA, Asset Accounting	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_ACC_ILM	ILM Tax Auditing	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_ACC_PEO	Partially Exempt Organizations	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_APAR_PAYMT_ADV	FI, ES Sending of PaymentAdvices	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_CO_CCPLAN	CO, Cost Center Planning	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_CO_COGM	Parallel COGM	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_CO_ORPLAN	CO, Order Planning	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_CRM_MKT_INTGR	ERP FIN Integration for CRM Mark	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_EWHT_EXCL	FI, Exclusions in Extended WTax	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_FSCM_BD_3	SAP Biller Direct Buy Side 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_FSCM_BNK	Bank Communication Management	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_FSCM_CCD_INTEGRATION	FSCM Integration 2	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_FSCM_CCD_INTEGRATION_3	FSCM Integration 3	ON	ON	Pass - No Impact	S				
