PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	OTH	Others	METH	Method (ABAP Objects)	ROLE_TO_TAG				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM03J	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SCAN_PROGRAM				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM03M	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SCAN				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM03K	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SCAN_ITAB				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM03L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_INSTANCE_INFOS				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER_AREA	ZCL_ABAP_COMPILER_AREA========CM00A	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ATTACH_FOR_READ				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER_AREA	ZCL_ABAP_COMPILER_AREA========CM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ATTACH_FOR_UPDATE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER_AREA	ZCL_ABAP_COMPILER_AREA========CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ATTACH_FOR_WRITE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER_AREA	ZCL_ABAP_COMPILER_AREA========CM003	
R3TR	OTH	Others	METH	Method (ABAP Objects)	BUILD				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER_AREA	ZCL_ABAP_COMPILER_AREA========CM004	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_PROC_OP_LINE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00Z	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_FORM_INFOS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01Q	
