COMPONENT	COMPONENTDESC	COMPTYPE	BFUNCTION	BFUNCDESC	BFUNCCATEG	BFCONFLICT
Component	Component Description	Component Type	Business Function (BF)	BF Description	BF Category	BF Conflict
DMIS	DMIS 2011_1	Industry Solutions	LT_PC_REORG_ANALYSIS	LT Profit Center Reorg. Analysis	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/BEV1/ARC	"BEV Archiving (PL,Emps,Rets,ED)"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/BEV1/NE_ENH	Functional Improvements BEV	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/CUM/MAIN_1	Compatible Units Archiving	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/ARC	Archiving for Direct Store Deliv	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/DEX	DEX Enablement for DSD	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/OCS	Occasionally-Connected Scenarios	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_01	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_02	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_03	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_04	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_04_02	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_PFO_CORE_04	Portfolio Assignment 2	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	ERP_AIE_INTEGRATION	AIE ERP Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE	Local Close	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE_2	Local Close 2	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE_3	Local Close 3	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_BL_EB_1	"FI-BL, Elec. Bank Statement"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_CO_CCMGMT	"CO, Cost Center Management"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_CO_MSSBUA_NWBC	Roles for MSS/BUA	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_1	Non-HCM Localization Topics	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_12	"RE-FX, Loc. for France"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_18	FI-AA Localization for Japan	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_2	FI Topics for Japan and Portugal	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_21	"RE-FX, Par. Adjustment for NL"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_22	"RE-FX, Loc. of CMD for Italy"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_26	Golden Tax Interface for China	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_3	RE-FX Portugal	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_6	"RE-FX, Loc. for CZ, HU, NL, SK"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_8	"FI-AA Topics for IN, JP, RU"	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_LOC_CI_9	"FI, Localization for CN"	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	JVA_CUTB_REVERSE	JVA cutback reversal	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	JVA_GL_INTEGRATION	JVA - New G/L Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	JVA_INFS_VALIDREP	"JVA, cutb, validation, reporting"	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	JVA_REP_SIMPL	"JVA, ODP for JVA"	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	J_7L_REA_AUTO_CONFIG	"REA, Automatic Configuration"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	J_7L_REA_CORE	"REA, Recycling Administration"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	J_7L_REA_SUSTAIN	"REA, Environmental Reporting"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CC	Config. Control Innovations	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CI_2	Enterprise Asset Management	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CI_3	EAM: Continuous Improvements	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CI_4	Enterprise Asset Mgmt Part 4	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CI_5	Enterprise Asset Mgmt Part 5	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_CI_6	Enterprise Asset Mgmt Part 6	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_LINEAR_1	"EAM, Linear Asset Management 1"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_LINEAR_2	"EAM, Linear Asset Management 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_PAM	EAM: Pool Asset Management	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_SIMPLICITY	Simplified EAM Functions	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_SIMPLICITY_2	Simplified EAM Functions 2	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_TOHO	Takeover/Handover of Tech. Objs	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_TOHO_2	Takeover/Handover Improvements	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_TZS_1	EAM: Time Zone Support	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_TZS_2	EAM: Time Zone Support (Part 2)	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_VE_INT	"EAM, Int. SAP Visual Enterprise"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_WCM_1	Stepwise Tagging/Work Permits	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_WCM_2	Definition of WCM Templates	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EAM_WCM_3	Managing WCM Objects/Templates	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EHS_CI_2	EH&S Continuous Improvement	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EHS_DG_CI_3	EHS - Continuous Improvements DG	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_EHS_PS_CI_3	EHS - Continuous Improvements PS	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_FI_DPC_MM_1	Subcontractor Mgmt (DwnPayChain)	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_CI_1	Optimizations in Production	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_INTELI_01	POWL	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_PI_PMA_01	PI Sheet Archiving	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_PMA_PMC	PI Sheet	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_SRN_02	Shift Report/Shift Note	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_SRN_CONF	"Shift Report/Notes, Confirmation"	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_XS_01	XStep Repository Enhancements	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_PP_XS_RTG_PO	XSteps for Routing and PO	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_SD_SMI	Supplier Managed Inventory	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	LOG_XPD_EXT_1	"PS, Progress Tracking Data in PO"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_EC_INTEGRATION	Env. Compl. Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_PS_CI_1	Project System Enhancements	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_PS_HLP_1	PS Handling Large Projects	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_PS_HLP_2	"PS, Handling Large Projects 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_QM_EXTENSION_2	Enhanc.in FMEA + QM Notificatns	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_QM_EXTENSION_3	QM Extensions in QC and Notif.	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_QM_NOTIFICATION	QM: Functions for Qty Notifictns	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	OPS_QM_PLAN_INTEGRAT	QM: Inspection Plan Integration	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	PLM_PMEVC_1	PLM Var. Config.  Prod. Mod. Env	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	PLM_RM_PRODUCT_LABELING	PLM RM: Labeling	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	PMD_PLM_RECIPE_MANAGEMENT_1	PLM: Recipe Management	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	PRS_ERP_CPILS_1	Comm.Proj.Inception&L.Staffing	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	PRS_ERP_CPILS_2	Comm.Proj.Inception&L.Staffing 2	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	RE_CRE_MISC	Corporate Real Estate	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	RE_FM_EARMARKED_FUND	RE/FM Earmarked Funds	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	RE_GEN_CI_1	Real Estate	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	RE_GEN_CI_2	Real Estate 2	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	RE_GEN_CI_3	Real Estate 3	Enterprise BF / Enhancement Packages	Warning
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	WTY_DP_1	"LO, Warranty for Dealer Portal"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	WTY_DP_2	"Warranty DP, Innovations"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_ICM_OF	DFPS: Investigative Case Mgmt	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_LM_GEN	"Maint, Support: Flight Operat."	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_MDS_INTEGRATION	"DFPS, Integration with SAP MDS"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_MDS_INTEGRATION_2	"DFPS, Integration with SAP MDS 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_OF_DEPL_LOG	"DFPS, Log. Operational Support"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_OF_LOG	"DFPS, Log. Oper. Support 3"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_OF_OS	"DFPS, Log. Operational Sup 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_OF_PERS_EQUI	"DFPS, Personal Equipment"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	DFPS_PM_DIS_SIG	"DFPS, Distribution of Signatures"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	EA-DFP	DefenseForces&PublicSecurity	Enterprise Addons	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	/IBS/EAFS_RBD_BUSOPR	RBD - Business Operations	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	/IBS/EAFS_RBD_BUSOPR5	RBD - Business Operations 2	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EA-FS	Financial Services	Enterprise Addons	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_BCA_BUSOPR	Deposits – Business Operations	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_BCA_BUSOPR_2	Deposits – Business Operations	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_BCA_BUSOPR_3	Deposits – Business Operations	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_AUTH_REL	"Auth,  Release & Maint. of bank"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_CL_EXT	Consumer Loan Extension	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_DEFCAP	CML: Deferral and Capitalization	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_FACILITIES	CML - Facilities	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_IOA	CML - Interest On Arrears	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_LOANS_POOLING	"CML, Loan Data to Funding Mngmnt"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	EAFS_CML_PAH_NP	CML-Payt. App. Hier. & Neg. Post	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_INHOUSE_CASH_1	FIN IHC Enhancements	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_CCC	Central Counterparty Clearing	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_COMM_RM	"TRM, FRM for Commodities"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_COMM_RM_2	"TRM,  FRM for Commodities 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_CORR_FW	"TRM, Correspondence Framework"	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_CORR_FW_2	"TRM, Correspondence Framework 2"	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_INS_HM	"TRM, P-Hedge Accounting"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_INS_HM_2	"TRM, P-Hedge Accounting 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_INS_LOCBR	"TRM, Treasury Localiz. Brazil"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_INS_LOCFR	"TRM, Trans.Man. Localiz. France"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_LR_FI_AN	"TRM: Hedge, Instr., Key Figures"	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_LR_FI_AN_2	"TRM, Hedge, Exposure, FI"	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_LR_FI_AN_3	"TRM, Instruments, Accounting"	Enterprise BF / Enhancement Packages	Warning
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	FIN_TRM_PSM_INTEGRATION	"TM, Integration into Funds Mgmt"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	LOG_TRM_INT_1	Logistics Treasury Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_GLT_COMMODITY_4	"Trade, Commodity Management 4"	Enterprise BF / Enhancement Packages	Warning
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_GLT_COMMODITY_5	"Trade, Commodity Management 5"	Enterprise BF / Enhancement Packages	Warning
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_GLT_IFW	"Trade, Invoice Forecasting"	Enterprise BF / Enhancement Packages	Pass - No Impact
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_GLT_VENDOR_FUND	"Trade, Fund Settlement"	Enterprise BF / Enhancement Packages	Warning
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_RET_COMMODITY_2	"Trade, Commodity Management 2"	Enterprise BF / Enhancement Packages	Warning
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_RET_COMMODITY_3	"Trade, Commodity Management 3"	Enterprise BF / Enhancement Packages	Warning
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	ISR_RET_COMPENSATION	"Trade, Compensation Management"	Enterprise BF / Enhancement Packages	Warning
EA-HR	SAP Enterprise Extension HR	Others	CA_CATS_CPR	CATS regular: cProject Details	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	FIN_TRAVEL_2	Travel Management 2	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_ASR_CI_2	"HCM, Administrative Services 02"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_CE_PT	"HCM, Time and Labor Mgmt for CE"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_ECM_CI_1	"HCM, ECM"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_EIC_CI_2	"HCM, Empl. Interaction Center 02"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_ESS_CE	"HCM, ESS for CE/GE"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_ESS_CI_1	"HCM, ESS for Personal Info."	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_1	HCM Localization Topics	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_2	HCM Topics for Russia	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_3	HCM Developments JP	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_4	HCM Public Sector Italy	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_5	Offcycle payment Spain	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_6	HCM: Public Sector SE	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_7	HCM Municipalities Norway	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LOC_CI_8	HCM TNM/LSO Integration	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_LSO_CI_2	"HCM, Learning Solution 02"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_MSS_ERC_CI_1	"HCM, MSS for SAP E-Recruiting"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_OSA_CI_1	"HCM, Performance Management 01"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	HCM_TMC_CI_1	"HCM, Core Procs in Talent Mgmt"	Enterprise BF / Enhancement Packages	
EA-HR	SAP Enterprise Extension HR	Others	PSM_PBC_XPL	"PSM, PBC: Extended Posting Logic"	Enterprise BF / Enhancement Packages	
EA-HRCCL	Sub component EA-HRCCL of EA-HR	Others	HCM_LOC_CI_16	"HCM, Payroll for Chile"	Enterprise BF / Enhancement Packages	
EA-HRCCN	Sub component EA-HRCCN of EA-HR	Others	HCM_LOC_CI_30	"HCM, Performance Mgmt for China"	Enterprise BF / Enhancement Packages	
EA-HRCCN	Sub component EA-HRCCN of EA-HR	Others	HCM_LOC_CI_38	"HCM, Talent Management for China"	Enterprise BF / Enhancement Packages	
EA-HRCCN	Sub component EA-HRCCN of EA-HR	Others	HCM_LOC_CI_39	"HCM, Performance Mgmt for China"	Enterprise BF / Enhancement Packages	
EA-HRCCN	Sub component EA-HRCCN of EA-HR	Others	HCM_LOC_CI_45	"HCM, IT and Legal Rpt for CN"	Enterprise BF / Enhancement Packages	
EA-HRCES	Sub component EA-HRCES of EA-HR	Others	HCM_LOC_CI_23	Massive IRPF Calculation Spain	Enterprise BF / Enhancement Packages	
EA-HRCFR	Sub component EA-HRCFR of EA-HR	Others	HCM_LOC_CI_10	"HCM, Local Public Sector PT"	Enterprise BF / Enhancement Packages	
EA-HRCIN	Sub component EA-HRCIN of EA-HR	Others	HCM_LOC_CI_21	HCM Topics for India	Enterprise BF / Enhancement Packages	
